"pt","NB_km","NB_ipcw","bias_km","bias_ipcw","ci_km_lower","ci_km_upper","ci_ipcw_lower","ci_ipcw_upper","NB_True","cover_km","cover_ipcw"
0.01,0.296427378617545,0.401852382012431,0.0979520355238688,-0.0074729678710167,0.258616099594634,0.333767523410945,0.334293566427088,0.497471583208309,0.394379414141414,FALSE,TRUE
0.05,0.279461846055192,0.3814624646918,0.0926421539448077,-0.00935846469180002,0.240151578128877,0.318516362768752,0.30861773895763,0.485541513295198,0.372104,FALSE,TRUE
0.1,0.259269642493945,0.358549971088455,0.0885103575060552,-0.010769971088455,0.217825761532467,0.300683547059343,0.285316198343805,0.463215397195789,0.34778,FALSE,TRUE
0.25,0.22967552484216,0.31328856443074,0.0592848084911737,-0.0243282310974068,0.183787072388711,0.274441672280967,0.234190721679628,0.42374811060158,0.288960333333333,FALSE,TRUE
0.5,0.126482138031609,0.21131538713055,0.0871898619683906,0.0023566128694501,0.0737381487523548,0.184323992248627,0.121196598948177,0.324183323098916,0.213672,FALSE,TRUE
0.75,0.144991583314254,0.192838581770895,0.00287741668574587,-0.0449695817708949,0.0524561905730797,0.215387492983263,0.103289048567186,0.299332356462469,0.147869,TRUE,TRUE
0.01,0.316661962182058,0.382361416070226,0.0777174519593556,0.0120179980711881,0.277691440118159,0.352943290279406,0.33565489391343,0.431171170542133,0.394379414141414,FALSE,TRUE
0.05,0.299447439610219,0.360754878016007,0.072656560389781,0.0113491219839928,0.256947439732949,0.33958994258347,0.313013904030729,0.412017962234365,0.372104,FALSE,TRUE
0.1,0.280706319352063,0.337347850000556,0.0670736806479366,0.0104321499994444,0.238294205891308,0.322218096811975,0.288083487201363,0.386246988857138,0.34778,FALSE,TRUE
0.25,0.259717642538093,0.292147806704026,0.0292426907952406,-0.00318747337069292,0.210665716169,0.304345334039587,0.239835768763197,0.34469888452176,0.288960333333333,TRUE,TRUE
0.5,0.164324428865563,0.185730408682941,0.0493475711344371,0.0279415913170586,0.10403333401999,0.219826689983504,0.12496588377871,0.254148849036433,0.213672,TRUE,TRUE
0.75,0.0998547116136214,0.104341162326297,0.0480142883863785,0.0435278376737025,0.0121116845099708,0.194111871185935,-0.00649028291198475,0.216091373933367,0.147869,TRUE,TRUE
0.01,0.329982879765266,0.397322694023301,0.0643965343761485,-0.0029432798818872,0.294057117376797,0.366448238239931,0.354905201995155,0.43931844434011,0.394379414141414,FALSE,TRUE
0.05,0.313657145397033,0.378020299142714,0.0584468546029667,-0.00591629914271408,0.275973189192354,0.35301464343301,0.334723008813584,0.421375585445391,0.372104,FALSE,TRUE
0.1,0.296526065629577,0.356718051335217,0.0512539343704225,-0.00893805133521725,0.258148048753392,0.337029559814822,0.310187304329782,0.404046067233418,0.34778,FALSE,TRUE
0.25,0.251213296089331,0.30199935587696,0.0377470372440027,-0.0130390225436267,0.210555954068248,0.295359053534657,0.257908718004264,0.351731713585511,0.288960333333333,TRUE,TRUE
0.5,0.189801309313956,0.236434208624849,0.0238706906860444,-0.0227622086248489,0.14156959729929,0.240207741061665,0.185294838712054,0.285542593844807,0.213672,TRUE,TRUE
0.75,0.166877838217474,0.185497047431206,-0.0190088382174739,-0.0376280474312064,0.0861684352334664,0.227391113449179,0.123878460850029,0.240121561308883,0.147869,TRUE,TRUE
0.01,0.348161067617875,0.400699666782575,0.0462183465235387,-0.00632025264116104,0.3063460900231,0.391761663838062,0.355162737546352,0.446927888909621,0.394379414141414,FALSE,TRUE
0.05,0.325589748601768,0.375522173530016,0.0465142513982323,-0.00341817353001639,0.27995660580213,0.371016466651127,0.326761493150977,0.420972832068322,0.372104,FALSE,TRUE
0.1,0.302660536301031,0.348063241323855,0.0451194636989692,-0.000283241323854988,0.255915718893566,0.349148975030362,0.30057894010173,0.39423217021481,0.34778,TRUE,TRUE
0.25,0.263918069069515,0.294363015280577,0.0250422642638186,-0.00540268194724375,0.218326701964342,0.313742413357149,0.247436579713602,0.342811944756954,0.288960333333333,TRUE,TRUE
0.5,0.223000904276294,0.238945867962149,-0.00932890427629385,-0.0252738679621485,0.177099838939014,0.271853908716535,0.197017213159287,0.281297296196747,0.213672,TRUE,TRUE
0.75,0.14136692445661,0.156568589275326,0.00650207554339038,-0.00869958927532588,0.0572464857192739,0.197469907602907,0.126653856134812,0.191269652313554,0.147869,TRUE,TRUE
0.01,0.334183626634725,0.428699782014723,0.0601957875066888,-0.0343203678733086,0.298293723795898,0.370216055781327,0.377222459569781,0.483102860827801,0.394379414141414,FALSE,TRUE
0.05,0.32041225921925,0.409628113306069,0.0516917407807501,-0.0375241133060694,0.283157006148281,0.361425770600161,0.355944675279456,0.464840515325376,0.372104,FALSE,TRUE
0.1,0.306248175828695,0.391714754592072,0.0415318241713052,-0.043934754592072,0.268976407746431,0.350739181563621,0.336373609146422,0.452399010180094,0.34778,TRUE,TRUE
0.25,0.27057931053418,0.344154744487803,0.0183810227991532,-0.0551944111544693,0.225430934748561,0.321719156832596,0.286644120629666,0.403480589484175,0.288960333333333,TRUE,TRUE
0.5,0.203704722773402,0.273981372447596,0.00996727722659779,-0.060309372447596,0.141944609363489,0.265086535131803,0.212444768460678,0.33446103617497,0.213672,TRUE,TRUE
0.75,0.184540643804727,0.23396774168639,-0.0366716438047267,-0.0860987416863901,0.114123253017823,0.258701548037632,0.174086444119315,0.293609144490309,0.147869,TRUE,FALSE
0.01,0.329688564327225,0.428813164340941,0.0646908498141893,-0.0344337501995265,0.292198535413432,0.364350748797819,0.372452554096468,0.495106290399221,0.394379414141414,FALSE,TRUE
0.05,0.304411176179021,0.401481628809807,0.0676928238209792,-0.0293776288098066,0.264531233525418,0.341286620539872,0.34241475446845,0.467602765587982,0.372104,FALSE,TRUE
0.1,0.2778511033126,0.373361908186076,0.0699288966873996,-0.0255819081860763,0.237335367087944,0.315319231363861,0.316058375610019,0.445152789713758,0.34778,FALSE,TRUE
0.25,0.229867694917533,0.315185721068909,0.0590926384158006,-0.0262253877355754,0.184776021896413,0.273882550788065,0.256895124238816,0.384251059069415,0.288960333333333,FALSE,TRUE
0.5,0.197737991136333,0.266778392375376,0.0159340088636669,-0.0531063923753764,0.135417692540807,0.250049460946144,0.199340859416546,0.330349103179484,0.213672,TRUE,TRUE
0.75,0.180291349935292,0.230238847836114,-0.0324223499352924,-0.0823698478361139,0.102126747543898,0.239103224545189,0.17117462228998,0.294998686990162,0.147869,TRUE,FALSE
0.01,0.343550209806247,0.402371251252665,0.050829204335167,-0.00799183711125107,0.308410820474145,0.381356506404595,0.360051290974964,0.446883806830561,0.394379414141414,FALSE,TRUE
0.05,0.321857673771548,0.377142979950133,0.0502463262284524,-0.00503897995013342,0.285568232945681,0.361133489114375,0.331253134342078,0.422726052780118,0.372104,FALSE,TRUE
